"id","name","location","size","uploadTime"
"76fd934e-9408-4d32-b433-2ad171ccc5c0","Assignment 1.log","Victoria","11114","Fri Sep 29 18:30:15 PDT 2023"
"fa95f17c-8013-463c-a443-367c6be6b79d","Assignment 1.pdf","Victoria","217259","Fri Sep 29 18:30:46 PDT 2023"
"00412520-9391-4b2c-b793-b4f3b8c77b74","Assignment 1.pdf","Victoria","217259","Fri Sep 29 18:30:46 PDT 2023"
